,UserId,ClusterId
352,338352,1
353,264852,1
354,287385,1
355,377517,1
356,350910,1
357,371616,2
358,328629,1
359,298116,1
360,320649,1
361,294042,1
362,361893,1
363,284319,1
364,305025,2
365,278418,1
366,368550,1
367,368802,2
368,295302,2
369,326025,1
370,291480,2
371,367269,1
372,381612,2
373,346815,1
374,332724,1
375,324744,1
376,289947,1
377,380079,1
378,275856,2
379,365988,2
380,345534,1
381,309120,1
382,372897,2
383,299397,1
384,321930,1
385,278943,1
386,273042,1
387,312207,1
388,306306,1
389,263319,1
390,370083,1
391,343728,1
392,270228,2
393,292761,1
394,382893,1
395,319620,2
396,268443,1
397,340158,1
398,285075,1
399,356790,1
400,301707,2
401,260967,1
402,318339,2
403,267162,1
404,283794,1
405,355509,1
406,300426,1
407,317058,1
408,337596,2
409,282513,1
410,370860,1
411,264600,2
412,328377,1
413,297864,1
414,287637,1
415,345009,1
416,314496,1
417,304269,1
418,361641,1
419,320901,2
420,294294,1
421,378273,1
422,351666,2
423,310926,1
424,368298,1
425,358071,1
426,327558,1
427,374703,1
428,295050,1
429,293013,2
430,350385,1
431,311682,1
432,309645,1
433,326277,1
434,383649,1
435,332472,1
436,291732,1
437,349104,1
438,308364,1
439,273567,1
440,365736,2
441,330939,1
442,290199,1
443,347571,1
444,364203,1
445,272286,1
446,380835,1
447,299145,1
448,288918,2
449,336063,1
450,305550,1
451,362922,1
452,352695,1
453,322182,1
454,379554,1
455,263067,1
456,342972,2
457,279699,2
458,359604,1
459,296331,1
460,312963,2
461,269976,1
462,276381,1
463,303240,1
464,284823,1
465,374955,1
466,319872,1
467,301455,1
468,340410,2
469,318087,1
470,266910,1
471,357042,1
472,283542,1
473,339129,1
474,265629,1
475,282261,1
476,372393,1
477,259938,1
478,298893,1
479,323715,1
480,264348,1
481,354480,2
482,371112,1
483,328125,1
484,314244,1
485,271257,1
486,334782,1
487,287889,1
488,378021,1
489,351414,1
490,304521,1
491,368046,1
492,341691,1
493,311178,1
494,358323,2
495,311430,1
496,276633,1
497,383397,2
498,332220,1
499,309897,1
500,348852,1
501,326529,1
502,365484,2
503,330687,1
504,291984,1
505,382116,1
506,347319,1
507,308616,2
508,363951,1
509,325248,1
510,290451,2
511,380583,1
512,307083,2
513,346038,1
514,315525,1
515,379302,1
516,336315,1
517,305802,2
518,262815,1
519,352947,1
520,279447,1
521,296079,2
522,343224,1
523,312711,1
524,269724,1
525,286356,1
526,376488,1
527,333501,1
528,302988,2
529,281001,2
530,295344,2
531,309687,1
532,348810,1
533,363153,2
534,377496,1
535,265377,2
536,279720,1
537,261471,2
538,333186,1
539,347529,2
540,361872,1
541,264096,2
542,278439,1
543,307125,1
544,321468,1
545,260190,1
546,346248,1
547,374934,1
548,270501,1
549,299187,1
550,352653,1
551,381339,1
552,277158,2
553,330624,1
554,359310,1
555,283563,1
556,312249,1
557,337029,1
558,365715,1
559,318906,1
560,343686,1
561,372372,1
562,267939,1
563,296625,1
564,325311,1
565,350091,1
566,378777,2
567,327810,1
568,370839,2
569,317625,2
570,342405,1
571,356748,1
572,273063,1
573,287406,1
574,355215,1
575,302001,1
576,341124,1
577,271782,1
578,339591,1
579,286377,1
580,300720,1
581,368529,1
582,382872,1
583,331905,2
584,313530,1
585,338310,1
586,285096,2
587,319935,2
588,344715,1
589,291501,2
590,373653,1
591,269472,1
592,304311,1
593,329091,1
594,351624,2
595,275877,2
596,358029,2
597,364434,1
598,288687,1
599,311220,1
600,336000,1
601,266406,1
602,280749,1
603,295092,1
604,348558,1
605,377244,1
606,309939,1
607,324282,1
608,265125,1
609,279468,1
610,332934,2
611,361620,2
612,294315,1
613,308658,1
614,323001,1
615,261723,2
616,263844,1
617,331653,1
618,381087,1
619,293034,1
620,321720,1
621,260442,1
622,375186,1
623,270753,1
624,330372,1
625,352905,1
626,283311,2
627,311997,1
628,365463,1
629,277410,1
630,306096,1
631,359562,1
632,318654,1
633,337281,1
634,267687,2
635,296373,2
636,349839,1
637,290472,1
638,343938,1
639,372624,1
640,325563,1
641,288939,1
642,303282,1
643,371091,1
644,342657,1
645,316092,1
646,383901,1
647,273315,1
648,355467,1
649,341376,1
650,368277,1
651,382620,1
652,339843,1
653,354186,1
654,298935,1
655,313278,1
656,262311,1
657,284844,1
658,344463,1
659,338562,1
660,297654,1
